Geographic area,Indicator,Sex,2020,2019,2018,2015
Afghanistan,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,87,-,-,-
Afghanistan,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,78,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,70,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,70,-,-,-
Afghanistan,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,38,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,70,-,-,-
Afghanistan,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,65,-,-,-
Afghanistan,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,66,-,-,-
Afghanistan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,43,-,-,-
Afghanistan,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,63,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,68,-,-,-
Afghanistan,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,75,-,-,-
Afghanistan,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,62,-,-,-
Armenia,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
Armenia,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,96,-,-,-
Armenia,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,91,-,-,-
Armenia,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,92,-,-,-
Armenia,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,97,-,-,-
Armenia,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,92,-,-,-
Armenia,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,79,-,-,-
Armenia,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,94,-,-,-
Armenia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,94,-,-,-
Armenia,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,92,-,-,-
Armenia,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,86,-,-,-
Armenia,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,92,-,-,-
Armenia,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,8,-,-,-
Armenia,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,94,-,-,-
Azerbaijan,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,94,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,85,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,79,-,-,-
Azerbaijan,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,98,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,80,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,82,-,-,-
Azerbaijan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,79,-,-,-
Azerbaijan,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,85,-,-,-
Azerbaijan,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,82,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,99,-,-,-
Bahrain,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,99,-,-,-
Bahrain,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,99,-,-,-
Bahrain,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,98,-,-,-
Bahrain,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,99,-,-,-
Bangladesh,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,96,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,97,-,-,-
Bangladesh,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,93,-,-,-
Bangladesh,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,99,-,-,-
Bangladesh,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,98,-,-,-
Bangladesh,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,97,-,-,-
Bhutan,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,98,-,-,-
Bhutan,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,96,-,-,-
Bhutan,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,95,-,-,-
Bhutan,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,96,-,-,-
Bhutan,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,85,-,-,-
Bhutan,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,96,-,-,-
Bhutan,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,93,-,-,-
Bhutan,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,93,-,-,-
Bhutan,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,92,-,-,-
Bhutan,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,90,-,-,-
Bhutan,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,90,-,-,-
Bhutan,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,96,-,-,-
Bhutan,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,81,-,-,-
Bhutan,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,93,-,-,-
Brunei Darussalam,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,99,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,99,-,-,-
Brunei Darussalam,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,81,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,99,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,99,-,-,-
Brunei Darussalam,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,97,-,-,-
Brunei Darussalam,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,97,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,99,-,-,-
Brunei Darussalam,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,86,-,-,-
Brunei Darussalam,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,99,-,-,-
Cambodia,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,98,-,-,-
Cambodia,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,94,-,-,-
Cambodia,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,92,-,-,-
Cambodia,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,92,-,-,-
Cambodia,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,94,-,-,-
Cambodia,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,92,-,-,-
Cambodia,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,91,-,-,-
Cambodia,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,84,-,-,-
Cambodia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,80,-,-,-
Cambodia,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,95,-,-,-
Cambodia,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,90,-,-,-
Cambodia,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,94,-,-,-
Cambodia,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,84,-,-,-
China,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
China,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
China,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,99,-,-,-
China,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,99,-,-,-
China,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,95,-,-,-
China,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,99,-,-,-
China,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,99,-,-,-
China,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,99,-,-,-
China,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,99,-,-,-
China,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,99,-,-,-
Cyprus,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,-,98,-,-
Cyprus,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,-,96,-,-
Cyprus,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,-,94,-,-
Cyprus,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,-,92,-,-
Cyprus,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,-,86,-,-
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,-,88,-,-
Cyprus,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,-,81,-,-
Cyprus,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,-,96,-,-
Cyprus,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,-,64,-,-
Cyprus,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,-,86,-,-
Georgia,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,96,-,-,-
Georgia,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,95,-,-,-
Georgia,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,88,-,-,-
Georgia,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,88,-,-,-
Georgia,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,97,-,-,-
Georgia,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,88,-,-,-
Georgia,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,95,-,-,-
Georgia,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,91,-,-,-
Georgia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,77,-,-,-
Georgia,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,82,-,-,-
Georgia,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,88,-,-,-
Georgia,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,75,-,-,-
Georgia,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,22,-,-,-
Georgia,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,91,-,-,-
India,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,85,-,-,-
India,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,87,-,-,-
India,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,85,-,-,-
India,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,85,-,-,-
India,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,54,-,-,-
India,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,85,-,-,-
India,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,81,-,-,-
India,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,89,-,-,-
India,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,81,-,-,-
India,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,90,-,-,-
India,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,21,-,-,-
India,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,85,-,-,-
India,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,82,-,-,-
India,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,89,-,-,-
Indonesia,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,87,-,-,-
Indonesia,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,83,-,-,-
Indonesia,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,77,-,-,-
Indonesia,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,77,-,-,-
Indonesia,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,73,-,-,-
Indonesia,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,77,-,-,-
Indonesia,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,37,-,-,-
Indonesia,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,76,-,-,-
Indonesia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,49,-,-,-
Indonesia,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,85,-,-,-
Indonesia,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,4,-,-,-
Indonesia,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,76,-,-,-
Indonesia,Percentage of females who received the last dose of human papillomavirus (HPV) vaccine per national schedule,Total,7,-,-,-
Indonesia,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,76,-,-,-
Iran (Islamic Republic of),Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,98,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,95,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,98,-,-,-
Iran (Islamic Republic of),Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,96,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,99,-,-,-
Iran (Islamic Republic of),Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,99,-,-,-
Iraq,Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis),Total,99,-,-,-
Iraq,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,90,-,-,-
Iraq,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,74,-,-,-
Iraq,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,74,-,-,-
Iraq,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,47,-,-,-
Iraq,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,74,-,-,-
Iraq,Percentage of surviving infants who received the first dose of inactivated polio-containing vaccine,Total,77,-,-,-
Iraq,Percentage of surviving infants who received the first dose of measles-containing vaccine,Total,76,-,-,-
Iraq,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,93,-,-,-
Iraq,Percentage of newborns protected at birth against tetanus with tetanus toxoid,Total,73,-,-,-
Iraq,Percentage of surviving infants who received the third dose of pneumococcal conjugate-containing vaccine (PCV),Total,-,37,-,-
Iraq,Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine,Total,78,-,-,-
Iraq,Percentage of surviving infants who received the last dose of rotavirus-containing vaccine (2nd or 3rd dose depending on vaccine used),Total,42,-,-,-
Iraq,Percentage of surviving infants who received the first dose of rubella-containing vaccine,Total,93,-,-,-
Israel,Percentage of surviving infants who received the first dose of DTP-containing vaccine,Total,99,-,-,-
Israel,Percentage of surviving infants who received the third dose of DTP-containing vaccine,Total,98,-,-,-
Israel,Percentage of surviving infants who received the third dose of hep B-containing vaccine,Total,96,-,-,-
Israel,Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth,Total,95,-,-,-
Israel,Percentage of surviving infants who received the third dose of Hib-containing vaccine,Total,98,-,-,-
